index	name	haskell_bits	encoding_bits	cost_milliweight	cmr	imr	amr	source_tmr	target_tmr	specification_cmr	specification_imr
13	verify_sp1_groth16_sha256	111100011101101	11100011101101	1000000000	b48d3ecaf8609dceec1d78bdcc08964370e1530e1af9c705a0449d876229604e	6c4f2aad6b668c0cab650be985dd8fe0ae68dc8e38ffb7253717c8c8d46ecac7	b48d3ecaf8609dceec1d78bdcc08964370e1530e1af9c705a0449d876229604e	1ae545b7c3fd85fe816c70ea4c78b7419d8be3c1fb3f7223fa7d8d503675518f	885a22de3edb3f40db0609c24023303fec6787be4d4921e45ee9d983acb5d89d	d8878f35afadf6010d8e31026b5c9742ec938944cdd9e6c2d66fde33ca8b5434	de9f02702bb8eac34b43e595bad6153d678da90a34ba1887c77857c60b06ffcb
14	verify_sp1_groth16_v3_public_values_v4_sha256	111100011101110	11100011101110	1000000000	ea1e7253afc74e38b584ebabbe4d302a8695ba6f1dc2a221938ae28540993586	22d0bb3cd4b7ef5793e055e6a97cc2c35423a92f8383fa2dc8983926a16b9040	ea1e7253afc74e38b584ebabbe4d302a8695ba6f1dc2a221938ae28540993586	1ae545b7c3fd85fe816c70ea4c78b7419d8be3c1fb3f7223fa7d8d503675518f	885a22de3edb3f40db0609c24023303fec6787be4d4921e45ee9d983acb5d89d	a52e069cf9c1f1da6f3fe0c23f893da4f59414dcec0e34933f05875df8f9b5b1	c64649959635e867caa014c18400402fb26e75d0848fbb4b123c423c3dcb44a2
15	verify_sp1_groth16_v4_public_values_v5_sha256	111100011101111	11100011101111	1000000000	68b35e42224a52c0877e8e15312cd2429a647dcd6e12f158ba7c9217152c3cf6	5f1f2877098411dd15a40d1c32daa69aac355ef41266a71320ceebc69fb3f07a	68b35e42224a52c0877e8e15312cd2429a647dcd6e12f158ba7c9217152c3cf6	1ae545b7c3fd85fe816c70ea4c78b7419d8be3c1fb3f7223fa7d8d503675518f	885a22de3edb3f40db0609c24023303fec6787be4d4921e45ee9d983acb5d89d	fb2aa82d0500811fe750890f1441d8051b7d09c62365b58b7619d699c4b6b624	95da6c0ecc87e258d630a8ae52d0ebcdaf899b6c25d1a492298dd34ee78ddae7
16	prior_active_bond_inbox_root_required	1111000111100000000	111000111100000000	1000	64e795cc9e34b7f66b21058f4a976d00117f5a28b8f84946665573d29e8c00de	81e19bb21aae24fb16280e03eb8a58e34dfc205c28985c005b0f03a9bf187187	64e795cc9e34b7f66b21058f4a976d00117f5a28b8f84946665573d29e8c00de	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	e0f49da0a834f48fbdee7dfd0ff96f56675a0f169ac15cf05989c3a35ff10f82	25b09e630f826875191071212c89d073ab96cf386282ba5281dc7b411d0ecf92
17	prior_active_bond_inbox_count_required	1111000111100000001	111000111100000001	1000	30c0dab2d7bcbcd566b25928764b90afded8e970e9dd3a2e7adb1ccc8d7c1d4d	e06777b6eee05993fe8dbc10b521e82cd0d089d035390dadff20f1b650022e89	30c0dab2d7bcbcd566b25928764b90afded8e970e9dd3a2e7adb1ccc8d7c1d4d	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	fd75bcd8cb55a5e424e09288ac8eb42942534ec1099b72bece0ea2c5479bf3e7	72679a3ed747c29e4aa870ee5c84dfd796c3a342381d3c4b08d6ab4de57bbab9	0698868fbd586ca11473ba86c5f926162e0a40a5b51666915d7786f83de1f51e
18	current_sidechain_height_required	1111000111100000010	111000111100000010	1000	051ea8a62eb92282d7cd9a8b70282a6ba1c2cb62acc8b86f4d23852d39cca60f	af1e5a51d563c2ce34cf637e32675f938e54f4aa8180efac5134811996cb034a	051ea8a62eb92282d7cd9a8b70282a6ba1c2cb62acc8b86f4d23852d39cca60f	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	fd75bcd8cb55a5e424e09288ac8eb42942534ec1099b72bece0ea2c5479bf3e7	242a810a64938eea9859b32e31de786d7709c0f1fc2e7c235864666376f77842	0eb13cd428e37e7b0561fe81d3ed7e110b251d3a1d5c63359e3db226fdc6289c
19	bond_v2_insurance_reserve_input_required	1111000111100000011	111000111100000011	1000	34e5e5ab8113baf24de7731417b01d9cb4ec4213a5429d30c35fee95b138bf87	68789a0286b1754473d9b9aee3d43575e9e8fc2c4e9fe7a554a5b4342f56edc8	34e5e5ab8113baf24de7731417b01d9cb4ec4213a5429d30c35fee95b138bf87	b1a9f9687833dc44bc8f17d3cbc255b7aa499a78fec85cc98a0c335c86ed26e9	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	d48d4edfcb17128c2f5da919d7dc5727108930a286a8acde763038a55e12d1ce	6d493a45279e7cbd7945315e53e77b66117f1e868ea8c9f91384df97f98c4f66
20	bond_v2_collateral_vault_input_required	1111000111100000100	111000111100000100	1000	3502f9c4ecaeedb90bbc8c1bae7fff9ee6e5c3fade7ffaab753837c69905f40a	afdcf327286e0f8f0e8a897d4b0686b6ee4b07729af72557346982fbbc4c4c72	3502f9c4ecaeedb90bbc8c1bae7fff9ee6e5c3fade7ffaab753837c69905f40a	b1a9f9687833dc44bc8f17d3cbc255b7aa499a78fec85cc98a0c335c86ed26e9	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	377f24584cc215e88771bbaeda66046cf481297037f6ab805817559261b3849c	e1a41945ec6737d2a950c8975563c4352d2b98d77a028dc3941249afba4f3ba4
21	bond_v2_incremental_activation_cmr_required	1111000111100000101	111000111100000101	1000	4b573d4ca8861506a0690a769737a9ba3da5415052a7f4c16988efe771e42b4f	92181f2105df63008bf3f81ae856de0be1f325bbf26d0b2c25cd842f57bfc64c	4b573d4ca8861506a0690a769737a9ba3da5415052a7f4c16988efe771e42b4f	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	547b5f517d8cdef8a52db33f35334314cfa0a5e3f8c1d2478dcb93ac96b2544d	1aec58ef408100efaa602a306c5cc39bdf3dfb52baf3a0cc6c0ab94230542ea2
22	incremental_successor_transition_cmr_required	1111000111100000110	111000111100000110	1000	b6580673b2cae4ac3e3a383eb95e1238cc3158f1e69b044b986da22ed450b780	ef3fe8ecb39b02b9ffdf6f254ca4722e3c198b2e6da3f3ccf85fd6870c075dc6	b6580673b2cae4ac3e3a383eb95e1238cc3158f1e69b044b986da22ed450b780	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	42003f28531aeff33225abff84d2ea93393d43a7ae9bd9b9f12cac7989c23e5e	91948df0eb49d22353bf168a598d05d5719d8886bc126d1aab9bab4bb43b3410
23	verify_sp1_groth16_v5_incremental_activation_sha256	1111000111100000111	111000111100000111	1000000000	ee0e23327913b58170d190795594238a20cd14f25e39912f63ecb7a9794f9be9	9b028a2109e895a2c93e5957bf017180996d68a2875ca7ba5b5080fb2cd67de9	ee0e23327913b58170d190795594238a20cd14f25e39912f63ecb7a9794f9be9	1ae545b7c3fd85fe816c70ea4c78b7419d8be3c1fb3f7223fa7d8d503675518f	885a22de3edb3f40db0609c24023303fec6787be4d4921e45ee9d983acb5d89d	b9de62090d0b268734a7a7b3b361f70d14aabb040885713262b6c3a4a2190832	3bbc02dae4b96f983d837a3fc7bd92d0efa3dcb8b13b2c18a86555171ce80813
24	verify_sp1_groth16_v6_incremental_successor_sha256	1111000111100001000	111000111100001000	1000000000	c3eb5e194adb1e513ef8f3aabe200c4d49b4ea00e685164784599b7b041b82cc	1046ca4e6e90896b8acb03ddf6c9256f7e1e805ca10261b27c409e13f746bc9b	c3eb5e194adb1e513ef8f3aabe200c4d49b4ea00e685164784599b7b041b82cc	1ae545b7c3fd85fe816c70ea4c78b7419d8be3c1fb3f7223fa7d8d503675518f	885a22de3edb3f40db0609c24023303fec6787be4d4921e45ee9d983acb5d89d	41845c4c12ac0e90ff8c6083308ce222be4011c35f90e231d453fa28c644d6bf	6291dbc4cc464e0949f282193ec1e40c242e0f30dac306a447f6b267e12f3086
